Date,VLCC,Suezmax,Aframax
2008-02-04,65846.0,,
2008-02-05,63214.0,,
2008-02-06,60960.0,,
2008-02-07,59124.0,,
2008-02-08,56089.0,,
2008-02-11,57130.0,,
2008-02-12,57778.0,,
2008-02-13,61152.0,,
2008-02-14,61760.0,,
2008-02-15,61529.0,,
2008-02-18,61067.0,,
2008-02-19,62054.0,,
2008-02-20,61126.0,,
2008-02-21,60358.0,,
2008-02-22,61339.0,,
2008-02-25,61886.0,,
2008-02-26,69115.0,,
2008-02-27,74296.0,,
2008-02-28,74316.0,,
2008-02-29,73770.0,,
2008-03-03,69855.0,,
2008-03-04,67839.0,,
2008-03-05,61897.0,,
2008-03-06,60313.0,,
2008-03-07,51573.0,,
2008-03-10,44310.0,,
2008-03-11,42169.0,,
2008-03-12,40751.0,,
2008-03-13,40901.0,,
2008-03-14,43179.0,,
2008-03-17,46298.0,,
2008-03-18,60309.0,,
2008-03-19,64875.0,,
2008-03-20,66272.0,,
2008-03-25,75924.0,,
2008-03-26,75799.0,,
2008-03-27,73267.0,,
2008-03-28,68571.0,,
2008-03-31,68036.0,,
2008-04-01,63868.0,,
2008-04-02,57939.0,,
2008-04-03,45793.0,,
2008-04-04,36551.0,,
2008-04-07,33707.0,,
2008-04-08,30028.0,,
2008-04-09,28344.0,,
2008-04-10,31255.0,,
2008-04-11,38246.0,,
2008-04-14,45600.0,,
2008-04-15,52410.0,,
2008-04-16,55562.0,,
2008-04-17,63020.0,,
2008-04-18,65857.0,,
2008-04-21,74207.0,,
2008-04-22,81724.0,,
2008-04-23,88577.0,,
2008-04-24,94253.0,,
2008-04-25,102174.0,,
2008-04-28,107133.0,,
2008-04-29,106248.0,,
2008-04-30,107990.0,,
2008-05-01,108321.0,98496.0,42703.0
2008-05-02,107155.0,96055.0,46632.0
2008-05-06,105706.0,90055.0,41785.0
2008-05-07,116358.0,85286.0,44271.0
2008-05-08,123864.0,83762.0,52069.0
2008-05-09,125280.0,84129.0,54072.0
2008-05-12,131778.0,85439.0,53597.0
2008-05-13,134490.0,87071.0,52665.0
2008-05-14,134406.0,96445.0,58329.0
2008-05-15,140684.0,108238.0,61514.0
2008-05-16,139119.0,111734.0,62527.0
2008-05-19,138000.0,112588.0,65041.0
2008-05-20,137427.0,115883.0,68125.0
2008-05-21,133110.0,113069.0,72534.0
2008-05-22,129428.0,113506.0,79736.0
2008-05-23,127264.0,119457.0,79475.0
2008-05-27,122135.0,121325.0,65121.0
2008-05-28,119177.0,120322.0,51791.0
2008-05-29,118202.0,118118.0,47203.0
2008-05-30,113943.0,112105.0,45350.0
2008-06-02,112954.0,103534.0,39111.0
2008-06-03,111367.0,90344.0,34800.0
2008-06-04,110648.0,76113.0,33578.0
2008-06-05,109497.0,69909.0,33597.0
2008-06-06,109910.0,64459.0,33440.0
2008-06-09,109366.0,60439.0,34846.0
2008-06-10,106925.0,50157.0,38874.0
2008-06-11,112851.0,56833.0,45257.0
2008-06-12,115817.0,75389.0,55482.0
2008-06-13,118372.0,83389.0,56663.0
2008-06-16,118653.0,88441.0,57948.0
2008-06-17,120068.0,88059.0,61261.0
2008-06-18,123446.0,87412.0,63523.0
2008-06-19,131536.0,86480.0,65863.0
2008-06-20,131684.0,85660.0,68994.0
2008-06-23,133641.0,80433.0,67170.0
2008-06-24,135770.0,76018.0,62798.0
2008-06-25,138373.0,74819.0,53133.0
2008-06-26,141237.0,75364.0,47049.0
2008-06-27,148013.0,75979.0,44592.0
2008-06-30,147431.0,74681.0,37099.0
2008-07-01,148122.0,74972.0,33003.0
2008-07-02,145370.0,79755.0,38238.0
2008-07-03,141692.0,80972.0,43672.0
2008-07-04,136502.0,80289.0,47582.0
2008-07-07,134041.0,79585.0,47293.0
2008-07-08,132522.0,79278.0,46541.0
2008-07-09,131966.0,79682.0,46672.0
2008-07-10,130933.0,82063.0,46814.0
2008-07-11,130060.0,86792.0,46957.0
2008-07-14,129715.0,96847.0,47286.0
2008-07-15,133166.0,107947.0,52825.0
2008-07-16,134034.0,114534.0,56362.0
2008-07-17,136689.0,120277.0,58476.0
2008-07-18,136706.0,121881.0,67494.0
2008-07-21,138960.0,124823.0,70017.0
2008-07-22,139025.0,156707.0,72782.0
2008-07-23,136672.0,169020.0,75262.0
2008-07-24,136929.0,170226.0,74277.0
2008-07-25,136686.0,165454.0,72693.0
2008-07-28,132128.0,161612.0,70319.0
2008-07-29,117856.0,152372.0,61778.0
2008-07-30,97556.0,130332.0,51705.0
2008-07-31,78415.0,112154.0,46208.0
2008-08-01,50400.0,97810.0,43980.0
2008-08-04,44161.0,88010.0,45030.0
2008-08-05,41435.0,68641.0,47690.0
2008-08-06,34892.0,67487.0,47517.0
2008-08-07,29973.0,67297.0,45431.0
2008-08-08,29749.0,65020.0,43328.0
2008-08-11,29279.0,59810.0,38843.0
2008-08-12,30995.0,55533.0,36336.0
2008-08-13,33602.0,42728.0,31239.0
2008-08-14,30129.0,37605.0,27719.0
2008-08-15,27295.0,38699.0,24790.0
2008-08-18,23999.0,39410.0,24441.0
2008-08-19,19483.0,38307.0,26421.0
2008-08-20,13547.0,32022.0,32952.0
2008-08-21,9132.0,30302.0,36379.0
2008-08-22,8687.0,32317.0,37465.0
2008-08-26,14016.0,31804.0,33602.0
2008-08-27,18076.0,40453.0,29013.0
2008-08-28,27133.0,54393.0,28919.0
2008-08-29,30876.0,52556.0,29198.0
2008-09-01,32334.0,51146.0,28564.0
2008-09-02,34630.0,48769.0,26595.0
2008-09-03,41245.0,47353.0,23913.0
2008-09-04,51284.0,47235.0,24906.0
2008-09-05,52987.0,46082.0,22915.0
2008-09-08,53045.0,45438.0,24925.0
2008-09-09,53930.0,40988.0,30391.0
2008-09-10,53525.0,36656.0,30154.0
2008-09-11,48015.0,37241.0,31423.0
2008-09-12,47301.0,40082.0,39533.0
2008-09-15,47521.0,43540.0,41571.0
2008-09-16,44342.0,43430.0,41061.0
2008-09-17,43144.0,50133.0,42580.0
2008-09-18,44274.0,61533.0,43260.0
2008-09-19,51155.0,61873.0,44088.0
2008-09-22,50944.0,61843.0,41912.0
2008-09-23,61530.0,62683.0,38907.0
2008-09-24,76604.0,63729.0,31615.0
2008-09-25,82381.0,62343.0,31487.0
2008-09-26,84035.0,59731.0,31819.0
2008-09-29,81707.0,58545.0,31303.0
2008-09-30,80870.0,57530.0,27415.0
2008-10-01,82258.0,58091.0,26567.0
2008-10-02,79303.0,57948.0,24138.0
2008-10-03,77402.0,58285.0,24342.0
2008-10-06,78503.0,54176.0,24488.0
2008-10-07,77429.0,51764.0,23827.0
2008-10-08,73990.0,52536.0,24255.0
2008-10-09,71760.0,51789.0,24866.0
2008-10-10,62550.0,50466.0,24864.0
2008-10-13,62741.0,43567.0,25219.0
2008-10-14,59445.0,39517.0,27515.0
2008-10-15,53316.0,38403.0,28772.0
2008-10-16,53765.0,38250.0,31110.0
2008-10-17,56079.0,41123.0,33971.0
2008-10-20,55964.0,46938.0,35598.0
2008-10-21,53974.0,48425.0,37124.0
2008-10-22,51247.0,51505.0,39018.0
2008-10-23,50436.0,55036.0,39888.0
2008-10-24,47467.0,56013.0,40741.0
2008-10-27,47006.0,57764.0,41295.0
2008-10-28,43616.0,60482.0,39801.0
2008-10-29,43898.0,67285.0,39234.0
2008-10-30,42626.0,72737.0,37467.0
2008-10-31,39380.0,75053.0,35418.0
2008-11-03,42220.0,71998.0,30042.0
2008-11-04,42069.0,71676.0,27860.0
2008-11-05,43895.0,69649.0,28083.0
2008-11-06,43084.0,67523.0,27065.0
2008-11-07,43203.0,65668.0,26240.0
2008-11-10,43678.0,62037.0,25846.0
2008-11-11,41797.0,61281.0,25640.0
2008-11-12,42307.0,58958.0,25555.0
2008-11-13,43020.0,51914.0,26201.0
2008-11-14,42897.0,48471.0,25424.0
2008-11-17,41733.0,47834.0,25028.0
2008-11-18,42618.0,46618.0,25441.0
2008-11-19,40773.0,45092.0,25874.0
2008-11-20,40573.0,42366.0,25541.0
2008-11-21,39604.0,40061.0,25710.0
2008-11-24,38713.0,37212.0,26247.0
2008-11-25,38257.0,31209.0,26526.0
2008-11-26,36350.0,31178.0,26193.0
2008-11-27,35759.0,48262.0,28719.0
2008-11-28,32988.0,64687.0,31882.0
2008-12-01,33686.0,79564.0,32458.0
2008-12-02,35072.0,87870.0,35977.0
2008-12-03,41290.0,90366.0,47847.0
2008-12-04,60346.0,87661.0,51781.0
2008-12-05,61333.0,81876.0,53070.0
2008-12-08,59466.0,72412.0,54502.0
2008-12-09,52748.0,64501.0,54341.0
2008-12-10,51128.0,63420.0,52497.0
2008-12-11,47681.0,61982.0,51933.0
2008-12-12,46276.0,58885.0,50906.0
2008-12-15,44631.0,60960.0,50492.0
2008-12-16,43261.0,61564.0,49654.0
2008-12-17,43098.0,57738.0,48006.0
2008-12-18,42343.0,54411.0,46993.0
2008-12-19,42741.0,52333.0,47535.0
2008-12-22,38977.0,50704.0,48664.0
2008-12-23,34512.0,50161.0,48702.0
2008-12-24,34497.0,49974.0,47473.0
2009-01-02,32509.0,47662.0,38143.0
2009-01-05,30151.0,48107.0,35374.0
2009-01-06,30017.0,47316.0,30481.0
2009-01-07,28917.0,42664.0,26010.0
2009-01-08,43855.0,45800.0,22514.0
2009-01-09,52313.0,46747.0,20323.0
2009-01-12,53734.0,46300.0,20949.0
2009-01-13,56812.0,43314.0,20164.0
2009-01-14,64146.0,40014.0,21361.0
2009-01-15,62206.0,36685.0,21814.0
2009-01-16,61757.0,37542.0,23101.0
2009-01-19,60671.0,40634.0,25099.0
2009-01-20,58637.0,41364.0,26671.0
2009-01-21,53541.0,41541.0,26660.0
2009-01-22,47652.0,42654.0,26442.0
2009-01-23,45288.0,39826.0,24886.0
2009-01-26,44322.0,39005.0,24049.0
